attempt_num,board_number,board_label,screen_type,board_score,running_total,death,death_num,lives,frame,bonus_timer
344,330,330 (Loop 2: Board 74),Gold,13600,7372900,false,,23,1238885,
345,331,331 (Loop 2: Board 75),Blue,25500,7398400,false,,23,1243190,
347,332,332 (Loop 2: Board 76),Grey,9200,7407600,true,15,22,1245317,5300
347,332,332 (Loop 2: Board 76),Grey,21600,7429200,false,,22,1247424,
348,333,333 (Loop 2: Board 77),Gold,14200,7443400,false,,22,1249775,
349,334,334 (Loop 2: Board 78),Blue,15000,7458400,false,,22,1250837,
350,335,335 (Loop 2: Board 79),Grey,27800,7486200,false,,22,1254514,
351,336,336 (Loop 2: Board 80),Gold,13100,7499300,false,,22,1257973,
352,337,337 (Loop 2: Board 81),Blue,24300,7523600,false,,22,1262810,
353,338,338 (Loop 2: Board 82),Grey,26400,7550000,false,,22,1267172,
354,339,339 (Loop 2: Board 83),Gold,13700,7563700,false,,22,1269779,
356,340,340 (Loop 2: Board 84),Blue,6100,7569800,true,16,21,1271664,5900
356,340,340 (Loop 2: Board 84),Blue,21600,7591400,false,,21,1274682,
358,341,341 (Loop 2: Board 85),Grey,1900,7593300,true,17,20,1276012,7000
358,341,341 (Loop 2: Board 85),Grey,27000,7620300,false,,20,1279069,
359,342,342 (Loop 2: Board 86),Gold,14400,7634700,false,,20,1281786,
360,343,343 (Loop 2: Board 87),Blue,15000,7649700,false,,20,1282850,
361,344,344 (Loop 2: Board 88),Grey,28300,7678000,false,,20,1286279,
362,345,345 (Loop 2: Board 89),Gold,13100,7691100,false,,20,1289762,
363,346,346 (Loop 2: Board 90),Blue,24900,7716000,false,,20,1294255,
365,347,347 (Loop 2: Board 91),Grey,6400,7722400,true,18,19,1295883,6300
365,347,347 (Loop 2: Board 91),Grey,23900,7746300,false,,19,1298268,
366,348,348 (Loop 2: Board 92),Gold,14200,7760500,false,,19,1300903,
367,349,349 (Loop 2: Board 93),Blue,15000,7775500,false,,19,1301971,
368,350,350 (Loop 2: Board 94),Grey,27800,7803300,false,,19,1305659,
369,351,351 (Loop 2: Board 95),Gold,14000,7817300,false,,19,1308248,
370,352,352 (Loop 2: Board 96),Blue,25100,7842400,false,,19,1312674,
372,353,353 (Loop 2: Board 97),Grey,11700,7854100,true,19,18,1315240,4400
372,353,353 (Loop 2: Board 97),Grey,19700,7873800,false,,18,1317055,
373,354,354 (Loop 2: Board 98),Gold,15400,7889200,false,,18,1319292,
374,355,355 (Loop 2: Board 99),Blue,15000,7904200,false,,18,1320370,
375,356,356 (Loop 2: Board 100),Grey,27800,7932000,false,,18,1324067,
376,357,357 (Loop 2: Board 101),Gold,12600,7944600,false,,18,1327916,
377,358,358 (Loop 2: Board 102),Blue,25400,7970000,false,,18,1332162,
378,359,359 (Loop 2: Board 103),Grey,28400,7998400,false,,18,1335577,
379,360,360 (Loop 2: Board 104),Gold,13700,8012100,false,,18,1338186,
380,361,361 (Loop 2: Board 105),Blue,26000,8038100,false,,18,1342137,
381,362,362 (Loop 2: Board 106),Grey,27300,8065400,false,,18,1346057,
382,363,363 (Loop 2: Board 107),Gold,13100,8078500,false,,18,1349388,
383,364,364 (Loop 2: Board 108),Blue,25600,8104100,false,,18,1353606,
384,365,365 (Loop 2: Board 109),Grey,27800,8131900,false,,18,1357303,
385,366,366 (Loop 2: Board 110),Gold,13900,8145800,false,,18,1359970,
386,367,367 (Loop 2: Board 111),Blue,24600,8170400,false,,18,1364637,
387,368,368 (Loop 2: Board 112),Grey,28000,8198400,false,,18,1368239,
388,369,369 (Loop 2: Board 113),Gold,13100,8211500,false,,18,1371688,
389,370,370 (Loop 2: Board 114),Blue,26000,8237500,false,,18,1375691,
390,371,371 (Loop 2: Board 115),Grey,27800,8265300,false,,18,1379370,
391,372,372 (Loop 2: Board 116),Gold,13400,8278700,false,,18,1382411,
392,373,373 (Loop 2: Board 117),Blue,25200,8303900,false,,18,1386715,
394,374,374 (Loop 2: Board 118),Grey,15900,8319800,true,20,17,1390520,1900
394,374,374 (Loop 2: Board 118),Grey,16800,8336600,false,,17,1391689,
395,375,375 (Loop 2: Board 119),Gold,14700,8351300,false,,17,1393938,
396,376,376 (Loop 2: Board 120),Blue,15000,8366300,false,,17,1395015,
398,377,377 (Loop 2: Board 121),Grey,7200,8373500,true,21,16,1397221,5200
398,377,377 (Loop 2: Board 121),Grey,22700,8396200,false,,16,1399754,
399,378,378 (Loop 2: Board 122),Gold,15000,8411200,false,,16,1401999,
400,379,379 (Loop 2: Board 123),Blue,15000,8426200,false,,16,1403071,
